Id,Painting_title,Black_Gesso,Bright_Red,Burnt_Umber,Cadmium_Yellow,Dark_Sienna,Indian_Red,Indian_Yellow,Liquid_Black,Liquid_Clear,Midnight_Black,Phthalo_Blue,Phthalo_Green,Prussian_Blue,Sap_Green,Titanium_White,Van_Dyke_Brown,Yellow_Ochre,Alizarin_Crimson,Total_colors
1,A Walk in the Woods,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,8
2,Mt. McKinley,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,8
3,Ebony Sunset,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,9
4,Winter Mist,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3
5,Quiet Stream,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,8
6,Winter Moon,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4
7,Autumn Mountain,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,8
8,Peaceful Valley,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,8
9,Seascape,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,8
10,Mountain Lake,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,8
11,Winter Glow,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,8
12,Snow Fall,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,4
13,Final Reflections,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,8
14,Meadow Lake,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,12
15,Winter Sun,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,12
16,Ebony Sea,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,13
17,Shades of Grey,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3
18,Autumn Splendor,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,11
19,Black River,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,11
20,Brown Mountain,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,11
21,Reflections,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,12
22,Black and White Seascape,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,12
23,Lazy River,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,12
24,Black Waterfall,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,12
25,Mountain Waterfall,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,12
26,Final Grace,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,12
27,Mountain Retreat,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,12
28,Blue Moon,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,12
29,Bubbling Stream,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,12
30,Winter Night,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,7
31,Distant Hills,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,7
32,Covered Bridge,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,10
33,Quiet Inlet,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,10
34,Night Light,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,9
35,The Old Mill,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,10
36,Campfire,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,8
37,Rustic Barn,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,12
38,Hidden Lake,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,10
39,Peaceful Waters,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,9
40,Purple Splendor,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,4
41,Tranquil Valley,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,10
42,Majestic Mountains,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,12
43,Winter Sawscape,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,7
44,Evening Seascape,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,10
45,Warm Summer Day,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,11
46,Cabin in the Woods,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,11
47,Wetlands,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,10
48,Cool Waters,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,12
49,Quiet Woods,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,11
50,Northwest Majesty,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,10
51,Autumn Days,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,12
52,Mountain Challenge,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,10
53,Mountain Waterfall,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,11
54,Twilight Meadow,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,12
55,Mountain Blossoms,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,5
56,Winter Stillness,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,7
57,Quiet Pond,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,10
58,Ocean Sunrise,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,6
59,Bubbling Brook,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,10
60,Arizona Splendor,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,9
61,Anatomy of a Wave,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,6
62,The Windmill,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,11
63,Autumn Glory,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,8
64,Indian Girl,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,5
65,Meadow Stream,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,11
66,Blue River,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,12
67,Nature's Edge,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,11
68,Morning Mist,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,10
69,Whispering Stream,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,11
70,Secluded Forest,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,12
71,Snow Trail,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,8
72,Arctic Beauty,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,11
73,Horizons West,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,7
74,High Chateau,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,11
75,Country Life,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,10
76,Western Expanse,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,11
77,Marshlands,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,11
78,Blaze of Color,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,11
79,Winter Cabin,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,6
80,Secluded Lake,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,12
81,Evergreens at Sunset,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,7
82,Mountain Cabin,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,12
